,assetClass,beta3Yr,cost,date,distYield,dnow,modelOad,numHoldings,optionAdjustedSpread,priceBook,priceEarnings,sharesOutstanding,standardDeviation3Yr,thirtyDaySecYield,ticker,totalNetAssets,twelveMonTrlYld,weightedAvgCoupon,weightedAvgLife,yieldToWorst,link
69,Equity,1.41,0.0043,2019-06-17 00:00:00.000000,0.021,2019-06-18 10:24:32.121957,,60.0,,1.37,10.24,4600000.0,0.2455,0.0155,IEO,241337609.0,0.0176,,,,https://www.ishares.com/us/products/239517/ishares-us-oil-gas-exploration-production-etf
70,Equity,,0.0015,2019-06-17 00:00:00.000000,0.0227,2019-06-18 10:24:34.251940,,402.0,,2.18,17.87,400000.0,,0.0232,AMCA,11198462.0,0.0239,,,,https://www.ishares.com/us/products/290127/
71,Equity,0.46,0.0031,2019-06-17 00:00:00.000000,0.0199,2019-06-18 10:24:37.840968,,281.0,,1.79,18.62,154200000.0,0.08470000000000001,0.029500000000000002,EFAV,10994535187.0,0.0313,,,,https://www.ishares.com/us/products/239626/ishares-msci-eafe-minimum-volatility-etf
72,Equity,1.1,0.0059,2019-06-17 00:00:00.000000,0.0027,2019-06-18 10:24:42.425789,,73.0,,1.5,14.33,2550000.0,0.15689999999999998,0.0060999999999999995,EIS,134446335.0,0.008,,,,https://www.ishares.com/us/products/239663/ishares-msci-israel-capped-etf
73,Fixed Income,-0.09,0.0015,2019-06-17 00:00:00.000000,0.019799999999999998,2019-06-18 10:24:45.826098,6.19,125.0,,,,432500000.0,0.036000000000000004,0.020099999999999996,GOVT,11106091234.0,0.0202,0.023799999999999998,7.75,0.0203,https://www.ishares.com/us/products/239468/ishares-us-treasury-bond-etf
74,Fixed Income,,0.001,2019-06-17 00:00:00.000000,0.0321,2019-06-18 10:24:47.282151,7.34,270.0,134.0,,,2350000.0,,0.035,IBDT,62537593.0,0.0,0.0412,8.7,0.034,https://www.ishares.com/us/products/304570/ishares-ibonds-dec-2028-term-corporate-etf-fund
75,,,,2019-06-17 10:24:48.304019,,2019-06-18 10:24:48.304031,,,,,,,,,,,,,,,https://www.ishares.com/uk/individual/en/products/251912/ishares-global-timber-forestry-ucits-etf
76,Equity,1.01,0.0004,2019-06-17 00:00:00.000000,0.0281,2019-06-18 10:24:53.711137,,679.0,,2.18,15.82,99250000.0,0.124,0.0254,IUSV,5487871725.0,0.0248,,,,https://www.ishares.com/us/products/239715/ishares-core-sp-us-value-etf
77,Equity,0.89,0.0031,2019-06-17 00:00:00.000000,0.013600000000000001,2019-06-18 10:24:58.195100,,1416.0,,2.2,17.05,144600000.0,0.1085,0.0206,ACWI,10392221362.0,0.0206,,,,https://www.ishares.com/us/products/239600/ishares-msci-acwi-etf
78,Equity,1.13,0.0025,2019-06-17 00:00:00.000000,0.008199999999999999,2019-06-18 10:25:03.504619,,417.0,,6.0,25.24,76400000.0,0.14,0.006500000000000001,IWP,10693594900.0,0.0084,,,,https://www.ishares.com/us/products/239717/ishares-russell-midcap-growth-etf
79,Fixed Income,0.0,0.001,2019-06-17 00:00:00.000000,0.026699999999999998,2019-06-18 10:25:06.753230,3.04,347.0,78.0,,,2950000.0,0.027200000000000002,0.0271,IBDD,78219515.0,0.028999999999999998,0.0321,3.2,0.0264,https://www.ishares.com/us/products/254555/isharesbond-mar-2023-corporate-term-etf
80,Real Estate,0.62,0.0008,2019-06-17 00:00:00.000000,0.034300000000000004,2019-06-18 10:25:13.537453,,157.0,,2.42,,26750000.0,0.1354,0.032400000000000005,USRT,1429980061.0,0.048499999999999995,,,,https://www.ishares.com/us/products/239544/ishares-core-us-real-estate-etf
81,Equity,0.18,0.0046,2019-06-17 00:00:00.000000,0.0576,2019-06-18 10:25:18.438017,,464.0,,,,416600000.0,0.0509,0.0535,PFF,15343148053.0,0.0538,,,,https://www.ishares.com/us/products/239826/ishares-us-preferred-stock-etf
82,Equity,0.64,0.0053,2019-06-17 00:00:00.000000,0.0004,2019-06-18 10:25:22.167306,,39.0,,2.04,15.7,650000.0,0.1332,0.0318,EFNL,23554975.0,0.0373,,,,https://www.ishares.com/us/products/239647/ishares-msci-finland-capped-etf
83,Equity,0.87,0.004699999999999999,2019-06-17 00:00:00.000000,0.0,2019-06-18 10:25:28.956752,,65.0,,1.55,13.89,79500000.0,0.1476,0.023700000000000002,EWG,2141184625.0,0.0276,,,,https://www.ishares.com/us/products/239650/ishares-msci-germany-etf
84,Equity,0.83,0.0039000000000000003,2019-06-17 00:00:00.000000,0.0516,2019-06-18 10:25:32.372363,,198.0,,1.27,10.2,8350000.0,0.20879999999999999,0.0334,PICK,240139248.0,0.0454,,,,https://www.ishares.com/us/products/239655/ishares-msci-global-metals-mining-producers-etf
85,Equity,1.19,0.004699999999999999,2019-06-17 00:00:00.000000,0.0271,2019-06-18 10:25:36.810661,,25.0,,1.27,11.92,3840000.0,0.18539999999999998,0.030899999999999997,WOOD,222548217.0,0.029300000000000003,,,,https://www.ishares.com/us/products/239752/ishares-global-timber-forestry-etf
86,Fixed Income,,0.0018,2019-06-17 00:00:00.000000,0.0305,2019-06-18 10:25:38.138185,,70.0,,,,200000.0,,0.015700000000000002,IBMP,5122711.0,,0.049400000000000006,7.67,0.0181,https://www.ishares.com/us/products/308049/ishares-ibonds-dec-2027-term-muni-bond-etf
87,Equity,0.74,0.0109,2019-06-17 00:00:00.000000,0.0097,2019-06-18 10:25:40.911548,,1.0,,,,30000000.0,0.12,0.0319,HEZU,900278529.0,0.031,,,,https://www.ishares.com/us/products/268708/ishares-currency-hedged-msci-emu-etf
88,,,,2019-06-17 10:25:43.699924,,2019-06-18 10:25:43.699941,,,,,,,,,,,,,,,https://www.ishares.com/uk/institutional/en/products/239668/ishares-msci-kokusai-etf
89,Fixed Income,0.01,0.0006,2019-06-17 00:00:00.000000,0.065,2019-06-18 10:25:48.387690,2.54,16.0,,,,23450000.0,0.012199999999999999,0.0705,STIP,2344103021.0,0.0216,0.0052,2.58,,https://www.ishares.com/us/products/239450/ishares-05-year-tips-bond-etf
90,Fixed Income,,0.0034000000000000002,2019-06-17 00:00:00.000000,,2019-06-18 10:25:50.265393,,1.0,,,,300000.0,,,LQDI,7590384.0,,,,,https://www.ishares.com/us/products/294319/
91,Fixed Income,0.26,0.004,2019-06-17 00:00:00.000000,0.0,2019-06-18 10:25:53.730023,3.36,272.0,,,,800000.0,0.07519999999999999,0.028900000000000002,HYXU,39979510.0,0.0388,0.0397,3.66,0.030600000000000002,https://www.ishares.com/us/products/239550/ishares-global-ex-usd-high-yield-corporate-bond-etf
92,Equity,1.39,0.0043,2019-06-17 00:00:00.000000,0.0159,2019-06-18 10:25:59.333457,,20.0,,3.08,17.34,2850000.0,0.1883,0.0123,IYT,522855916.0,0.0123,,,,https://www.ishares.com/us/products/239501/ishares-transportation-average-etf
93,Equity,0.7,0.004699999999999999,2019-06-17 00:00:00.000000,0.037000000000000005,2019-06-18 10:26:06.397872,,97.0,,1.67,15.38,68400000.0,0.11779999999999999,0.0403,EWU,2161327037.0,0.0463,,,,https://www.ishares.com/us/products/239690/ishares-msci-united-kingdom-etf
94,Equity,0.65,0.004699999999999999,2019-06-17 00:00:00.000000,0.0338,2019-06-18 10:26:13.415792,,23.0,,1.21,12.07,34200000.0,0.1776,0.024399999999999998,EWP,970336911.0,0.0351,,,,https://www.ishares.com/us/products/239683/ishares-msci-spain-capped-etf
95,Equity,0.9,0.0024,2019-06-17 00:00:00.000000,0.015,2019-06-18 10:26:16.685712,,1202.0,,2.34,18.02,6800000.0,0.10869999999999999,0.0216,URTH,605763205.0,0.0209,,,,https://www.ishares.com/us/products/239696/ishares-msci-world-etf
96,Equity,0.94,0.002,2019-06-17 00:00:00.000000,0.0265,2019-06-18 10:26:23.398430,,720.0,,2.02,17.16,305100000.0,0.115,0.024900000000000002,IWD,38029002626.0,0.025099999999999997,,,,https://www.ishares.com/us/products/239708/ishares-russell-1000-value-etf
97,Equity,0.77,0.001,2019-06-17 00:00:00.000000,0.0134,2019-06-18 10:26:25.962946,,995.0,,1.74,15.79,69000000.0,0.12480000000000001,0.0305,IEUR,3113635632.0,0.0346,,,,https://www.ishares.com/us/products/264617/ishares-core-msci-europe-etf
98,Equity,0.9,0.0015,2019-06-17 00:00:00.000000,0.02,2019-06-18 10:26:28.908652,,125.0,,5.96,30.97,80350000.0,0.1223,0.0172,MTUM,9437313198.0,0.0131,,,,https://www.ishares.com/us/products/251614/ishares-msci-usa-momentum-factor-etf
99,Fixed Income,-0.06,0.002,2019-06-17 00:00:00.000000,0.023700000000000002,2019-06-18 10:26:32.965663,3.96,78.0,19.0,,,4150000.0,0.0215,0.0212,AGZ,476281314.0,0.0236,0.0321,4.95,0.0219,https://www.ishares.com/us/products/239457/ishares-agency-bond-etf
100,Equity,0.67,0.0069,2019-06-17 00:00:00.000000,0.0165,2019-06-18 10:26:35.562953,,1.0,,,,2600000.0,0.09230000000000001,0.023799999999999998,HAWX,69001535.0,0.0229,,,,https://www.ishares.com/us/products/273768/ishares-currency-hedged-msci-acwi-ex-us-etf
101,Equity,0.85,0.0039000000000000003,2019-06-17 00:00:00.000000,0.0223,2019-06-18 10:26:39.808251,,1661.0,,1.39,14.4,164800000.0,0.127,0.022000000000000002,SCZ,9212997570.0,0.0258,,,,https://www.ishares.com/us/products/239627/ishares-msci-eafe-smallcap-etf
102,Fixed Income,-0.01,0.0007000000000000001,2019-06-17 00:00:00.000000,0.0302,2019-06-18 10:26:45.036825,5.23,8035.0,,,,72300000.0,0.029300000000000003,0.028300000000000002,IUSB,3702194144.0,0.0301,0.0358,7.52,0.0296,https://www.ishares.com/us/products/264615/ishares-core-total-usd-bond-market-etf
103,Multi Asset,0.53,0.0032,2019-06-17 00:00:00.000000,0.0183,2019-06-18 10:26:51.486041,,7.0,,,,27900000.0,0.067,0.0253,AOR,1259783780.0,0.024300000000000002,,,,https://www.ishares.com/us/products/239756/ishares-growth-allocation-etf
104,Equity,1.0,0.0018,2019-06-17 00:00:00.000000,0.016399999999999998,2019-06-18 10:26:57.498164,,295.0,,5.36,26.79,130600000.0,0.1215,0.0132,IVW,23108463871.0,0.012,,,,https://www.ishares.com/us/products/239725/ishares-sp-500-growth-etf
105,Equity,,0.0025,2019-06-17 00:00:00.000000,,2019-06-18 10:26:58.614016,,90.0,,2.67,16.63,100000.0,,,MIDF,2613685.0,,,,,https://www.ishares.com/us/products/308876/
106,Equity,0.8,0.004699999999999999,2019-06-17 00:00:00.000000,0.12269999999999999,2019-06-18 10:27:04.393334,,103.0,,3.67,25.15,35200000.0,0.12050000000000001,0.015600000000000001,IXJ,2132498471.0,0.020499999999999997,,,,https://www.ishares.com/us/products/239744/ishares-global-healthcare-etf
107,Fixed Income,,0.0006,2019-06-17 00:00:00.000000,0.0315,2019-06-18 10:27:06.223191,6.19,288.0,122.0,,,250000.0,,0.0329,MLQD,12568247.0,0.033,0.0377,7.09,0.0323,https://www.ishares.com/us/products/290144/ishares-5-10-year-investment-grade-corporate-bond-etf-fund
108,Equity,0.67,0.0048,2019-06-17 00:00:00.000000,0.0473,2019-06-18 10:27:12.194441,,147.0,,1.65,15.33,53100000.0,0.1108,0.0341,EPP,2398144533.0,0.0449,,,,https://www.ishares.com/us/products/239674/ishares-msci-pacific-ex-japan-etf
109,Equity,0.71,0.003,2019-06-17 00:00:00.000000,0.014499999999999999,2019-06-18 10:27:14.871633,,282.0,,3.04,21.13,4800000.0,0.1117,0.0218,IMTM,138608654.0,0.021400000000000002,,,,https://www.ishares.com/us/products/271538/ishares-msci-international-developed-momentum-factor-etf
110,Equity,2.0,0.0043,2019-06-17 00:00:00.000000,0.026699999999999998,2019-06-18 10:27:19.829098,,39.0,,1.0,18.6,5950000.0,0.3344,0.024700000000000003,IEZ,118762242.0,0.019,,,,https://www.ishares.com/us/products/239518/ishares-us-oil-equipment-services-etf
111,Equity,1.15,0.0025,2019-06-17 00:00:00.000000,0.013500000000000002,2019-06-18 10:27:27.570716,,243.0,,3.26,23.26,33900000.0,0.1406,0.011899999999999999,IJK,7527943685.0,0.0109,,,,https://www.ishares.com/us/products/239762/ishares-sp-midcap-400-growth-etf
112,Equity,1.15,0.0043,2019-06-17 00:00:00.000000,0.008,2019-06-18 10:27:32.797397,,46.0,,1.89,12.86,31400000.0,0.1909,0.005,ITB,1219602889.0,0.005600000000000001,,,,https://www.ishares.com/us/products/239512/ishares-us-home-construction-etf
113,Equity,0.91,0.002,2019-06-17 00:00:00.000000,0.0259,2019-06-18 10:27:36.737167,,135.0,,2.07,17.07,8400000.0,0.1121,0.026099999999999998,IWX,446413414.0,0.024700000000000003,,,,https://www.ishares.com/us/products/239722/ishares-russell-top-200-value-etf
114,Equity,,0.0017000000000000001,2019-06-17 00:00:00.000000,0.012,2019-06-18 10:27:38.544908,,941.0,,2.12,18.0,1550000.0,,0.013600000000000001,ESML,40803235.0,0.0121,,,,https://www.ishares.com/us/products/296644/ishares-msci-usa-small-cap-esg-optimized-etf-fund_2
115,Equity,1.06,0.004699999999999999,2019-06-17 00:00:00.000000,0.009000000000000001,2019-06-18 10:27:44.527704,,116.0,,4.78,19.63,14900000.0,0.1496,0.011200000000000002,IXN,2582176058.0,0.008199999999999999,,,,https://www.ishares.com/us/products/239750/ishares-global-tech-etf
116,Fixed Income,-0.03,0.0009,2019-06-17 00:00:00.000000,0.0359,2019-06-18 10:27:49.124023,7.59,2743.0,51.0,,,25900000.0,0.027000000000000003,0.0085,IAGG,1397825690.0,0.0429,0.0215,9.15,0.0079,https://www.ishares.com/us/products/279626/ishares-international-aggregate-bond-etf
117,Equity,0.22,0.004699999999999999,2019-06-17 00:00:00.000000,0.024700000000000003,2019-06-18 10:27:54.282657,,64.0,,1.96,19.28,3650000.0,0.10779999999999999,0.0301,JXI,199348506.0,0.028900000000000002,,,,https://www.ishares.com/us/products/239753/ishares-global-utilities-etf
118,Commodity,,0.0029,2019-06-17 00:00:00.000000,0.023,2019-06-18 10:27:55.645860,,0.0,,,,800000.0,,0.0226,CMDY,35386908.0,0.0172,,,,https://www.ishares.com/us/products/292741/
119,Fixed Income,-0.21,0.0015,2019-06-17 00:00:00.000000,0.022799999999999997,2019-06-18 10:28:01.335962,17.72,35.0,,,,110800000.0,0.1076,0.0246,TLT,14583194888.0,0.0246,0.0304,25.41,0.0254,https://www.ishares.com/us/products/239454/ishares-20-year-treasury-bond-etf
120,Equity,1.13,0.0043,2019-06-17 00:00:00.000000,0.0105,2019-06-18 10:28:09.156660,,149.0,,5.93,21.3,20650000.0,0.1598,0.008,IYW,3987083045.0,0.008199999999999999,,,,https://www.ishares.com/us/products/239522/ishares-us-technology-etf
121,Fixed Income,0.0,0.0018,2019-06-17 00:00:00.000000,0.0116,2019-06-18 10:28:12.183678,,819.0,,,,10650000.0,0.0118,0.0166,IBMH,270930309.0,0.0109,0.0443,0.09,0.0159,https://www.ishares.com/us/products/258510/ishares-2019-amtfree-muni-term-etf
122,Equity,0.96,0.01,2019-06-17 00:00:00.000000,0.008100000000000001,2019-06-18 10:28:15.270031,,1.0,,,,13500000.0,0.14859999999999998,0.0171,HEWJ,404672585.0,0.013300000000000001,,,,https://www.ishares.com/us/products/259624/ishares-currency-hedged-msci-japan-etf
123,Fixed Income,-0.01,0.0018,2019-06-17 00:00:00.000000,0.0127,2019-06-18 10:28:18.091576,,1127.0,,,,13850000.0,0.0187,0.0124,IBMI,353598566.0,0.012199999999999999,0.0481,1.08,0.0134,https://www.ishares.com/us/products/269394/ishares-2020-amtfree-muni-term-etf
124,Equity,1.08,0.004699999999999999,2019-06-17 00:00:00.000000,0.009000000000000001,2019-06-18 10:28:21.560932,,199.0,,2.65,18.78,62450000.0,0.13419999999999999,0.013300000000000001,XT,2324617912.0,0.013300000000000001,,,,https://www.ishares.com/us/products/272532/ishares-exponential-technologies-etf
125,Equity,0.79,0.003,2019-06-17 00:00:00.000000,0.018799999999999997,2019-06-18 10:28:24.155379,,208.0,,1.34,11.66,47800000.0,0.1209,0.0281,INTF,1217279042.0,0.024700000000000003,,,,https://www.ishares.com/us/products/272822/ishares-msci-international-multi-factor-etf
126,Commodity,,0.0032,2019-06-17 00:00:00.000000,0.0131,2019-06-18 10:28:25.697020,,1.0,,,,100000.0,,0.0173,IAUF,5101333.0,0.0075,,,,https://www.ishares.com/us/products/293782/
127,Equity,0.71,0.004699999999999999,2019-06-17 00:00:00.000000,0.013999999999999999,2019-06-18 10:28:37.714032,,323.0,,1.21,12.7,227850000.0,0.1074,0.0183,EWJ,12203227350.0,0.0163,,,,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf
128,Equity,0.43,0.0109,2019-06-17 00:00:00.000000,0.038900000000000004,2019-06-18 10:28:40.090681,,1.0,,,,550000.0,0.1016,0.0454,HEWU,13306354.0,0.045599999999999995,,,,https://www.ishares.com/us/products/273763/ishares-currency-hedged-msci-united-kingdom-etf
129,Fixed Income,-0.17,0.0015,2019-06-17 00:00:00.000000,0.022400000000000003,2019-06-18 10:28:45.056592,11.9,10.0,,,,8400000.0,0.0681,0.022000000000000002,TLH,1193586489.0,0.022400000000000003,0.0489,16.33,0.0225,https://www.ishares.com/us/products/239453/ishares-1020-year-treasury-bond-etf
130,Equity,,0.0015,2019-06-17 00:00:00.000000,0.0,2019-06-18 10:28:46.652812,,157.0,,0.85,9.91,300000.0,,0.0305,EWJV,7148422.0,0.0,,,,https://www.ishares.com/us/products/307263/
131,Equity,,0.0018,2019-06-17 00:00:00.000000,0.0086,2019-06-18 10:28:49.238575,,214.0,,,,350000.0,,0.0084,IETC,9951910.0,0.0126,,,0.0002,https://www.ishares.com/us/products/292425/
132,Real Estate,0.54,0.0048,2019-06-17 00:00:00.000000,0.0304,2019-06-18 10:28:53.895555,,209.0,,1.01,,13700000.0,0.11019999999999999,0.0287,IFGL,406326242.0,0.0381,,,,https://www.ishares.com/us/products/239540/ishares-international-developed-real-estate-etf
133,Fixed Income,0.0,0.001,2019-06-17 00:00:00.000000,0.026000000000000002,2019-06-18 10:28:56.623502,1.84,564.0,65.0,,,46350000.0,0.0195,0.026099999999999998,IBDM,1148794437.0,0.0268,0.0325,1.92,0.0256,https://www.ishares.com/us/products/272342/ishares-ibonds-dec-2021-corporate-etf
134,Fixed Income,0.28,0.0049,2019-06-17 00:00:00.000000,0.049699999999999994,2019-06-18 10:29:01.507521,3.2,976.0,359.0,,,181200000.0,0.043,0.0564,HYG,15596617147.0,0.053399999999999996,0.061500000000000006,3.96,0.0576,https://www.ishares.com/us/products/239565/ishares-iboxx-high-yield-corporate-bond-etf
135,Equity,0.88,0.002,2019-06-17 00:00:00.000000,0.0208,2019-06-18 10:29:04.328642,,1268.0,,2.23,17.13,3800000.0,0.1084,0.022000000000000002,CRBN,443159899.0,0.022799999999999997,,,,https://www.ishares.com/us/products/271054/ishares-msci-acwi-low-carbon-target-etf
136,Equity,1.11,0.004699999999999999,2019-06-17 00:00:00.000000,0.0034999999999999996,2019-06-18 10:29:10.240043,,20.0,,2.61,24.23,2150000.0,0.1711,0.0038,IGN,114881508.0,0.005,,,,https://www.ishares.com/us/products/239770/ishares-north-american-techmultimedia-networking-etf
