,assetClass,beta3Yr,cost,date,distYield,dnow,modelOad,numHoldings,optionAdjustedSpread,priceBook,priceEarnings,sharesOutstanding,standardDeviation3Yr,thirtyDaySecYield,ticker,totalNetAssets,twelveMonTrlYld,weightedAvgCoupon,weightedAvgLife,yieldToWorst,link
137,Equity,1.06,0.004699999999999999,2019-06-17 00:00:00.000000,0.0,2019-06-18 10:29:16.223463,,88.0,,7.81,36.18,12300000.0,0.1595,-0.0004,IGV,2616002444.0,0.0013,,,,https://www.ishares.com/us/products/239771/ishares-north-american-techsoftware-etf
138,Equity,0.96,0.0059,2019-06-17 00:00:00.000000,0.0246,2019-06-18 10:29:25.098856,,271.0,,1.76,15.77,1700000.0,0.1724,0.024900000000000002,EWUS,63449782.0,0.0315,,,,https://www.ishares.com/us/products/239691/ishares-msci-united-kingdom-smallcap-etf
139,Equity,0.32,0.0109,2019-06-17 00:00:00.000000,0.0639,2019-06-18 10:29:27.622414,,1.0,,,,50000.0,0.0872,0.0545,HAUD,1313223.0,0.0528,,,,https://www.ishares.com/us/products/273743/ishares-currency-hedged-msci-australia-etf
140,Fixed Income,0.02,0.0015,2019-06-17 00:00:00.000000,0.028900000000000002,2019-06-18 10:29:31.284490,7.16,1502.0,87.0,,,6500000.0,0.037000000000000005,0.0296,QLTA,343344428.0,0.030899999999999997,0.035699999999999996,10.14,0.0296,https://www.ishares.com/us/products/239431/ishares-aaa-a-rated-corporate-bond-etf
141,Fixed Income,,0.0034999999999999996,2019-06-17 00:00:00.000000,,2019-06-18 10:29:32.635494,2.79,196.0,341.0,,,500000.0,,0.0555,IBHD,12554805.0,,0.062,3.36,0.0555,https://www.ishares.com/us/products/308565/ishares-ibonds-2024-term-high-yield-and-income-etf
142,Equity,0.86,0.004699999999999999,2019-06-17 00:00:00.000000,0.008,2019-06-18 10:29:39.649443,,60.0,,2.06,16.77,5550000.0,0.1416,0.020099999999999996,EWN,165678063.0,0.0213,,,,https://www.ishares.com/us/products/239671/ishares-msci-netherlands-etf
143,Equity,,0.0005,2019-06-17 00:00:00.000000,0.0173,2019-06-18 10:29:41.710196,,1269.0,,1.56,14.86,25950000.0,,0.0291,IDEV,1381606798.0,0.0292,,,,https://www.ishares.com/us/products/286762/ishares-core-msci-international-developed-markets-etf-fund
144,Commodity,0.66,,2019-06-17 00:00:00.000000,,2019-06-18 10:29:46.369720,,12.0,,,,62550000.0,0.1549,,GSG,934634801.0,,,,,https://www.ishares.com/us/products/239757/ishares-sp-gsci-commodityindexed-trust-fund
145,Fixed Income,,0.0018,2019-06-17 00:00:00.000000,0.0147,2019-06-18 10:29:47.752494,,70.0,,,,200000.0,,0.0146,IBMO,5109868.0,,0.0467,6.78,0.0173,https://www.ishares.com/us/products/308047/ishares-ibonds-dec-2026-term-muni-bond-etf
146,Fixed Income,,0.0034999999999999996,2019-06-17 00:00:00.000000,,2019-06-18 10:29:49.046005,3.67,236.0,400.0,,,500000.0,,0.060599999999999994,IBHE,12499088.0,,0.0626,4.59,0.061900000000000004,https://www.ishares.com/us/products/308567/ishares-ibonds-2025-term-high-yield-and-income-etf
147,Fixed Income,0.06,0.0026,2019-06-17 00:00:00.000000,0.0321,2019-06-18 10:29:51.773483,3.11,723.0,138.0,,,1100000.0,0.0255,0.0319,FIBR,110081825.0,0.0368,0.043899999999999995,5.17,0.035,https://www.ishares.com/us/products/271544/ishares-us-fixed-income-balanced-risk-etf
148,Equity,0.91,0.0043,2019-06-17 00:00:00.000000,0.0273,2019-06-18 10:29:56.713619,,26.0,,1.83,14.11,3750000.0,0.1787,0.013999999999999999,IAI,232304916.0,0.0174,,,,https://www.ishares.com/us/products/239504/ishares-us-brokerdealers-etf
149,Equity,0.74,0.006,2019-06-17 00:00:00.000000,0.0124,2019-06-18 10:30:02.941905,,364.0,,1.73,15.79,40200000.0,0.1219,0.026699999999999998,IEV,1719184757.0,0.0316,,,,https://www.ishares.com/us/products/239736/ishares-europe-etf
150,Equity,0.91,0.004,2019-06-17 00:00:00.000000,0.019299999999999998,2019-06-18 10:30:07.522400,,1016.0,,1.65,14.8,2900000.0,0.1514,0.022400000000000003,IEUS,141255300.0,0.0291,,,,https://www.ishares.com/us/products/239537/ishares-developed-smallcap-ex-north-america-etf
151,Equity,1.46,0.004699999999999999,2019-06-17 00:00:00.000000,0.013999999999999999,2019-06-18 10:30:13.531847,,30.0,,4.51,15.43,7450000.0,0.21989999999999998,0.0151,SOXX,1363011475.0,0.013000000000000001,,,,https://www.ishares.com/us/products/239705/ishares-phlx-semiconductor-etf
152,Fixed Income,,0.0018,2019-06-17 00:00:00.000000,0.0165,2019-06-18 10:30:15.175319,,408.0,,,,950000.0,,0.0137,IBMN,25485498.0,0.0,0.047400000000000005,6.03,0.015300000000000001,https://www.ishares.com/us/products/282964/ishares-ibonds-dec-2025-term-muni-bond-etf
153,Equity,1.17,0.0007000000000000001,2019-06-17 00:00:00.000000,0.0184,2019-06-18 10:30:21.482367,,400.0,,2.16,18.58,256600000.0,0.146,0.0166,IJH,48615907452.0,0.0158,,,,https://www.ishares.com/us/products/239763/ishares-core-sp-midcap-etf
154,Fixed Income,-0.01,0.0006,2019-06-17 00:00:00.000000,0.0351,2019-06-18 10:30:28.647959,14.68,1860.0,122.0,,,4500000.0,0.0761,0.037200000000000004,ILTB,290038248.0,0.0381,0.0452,23.35,0.0368,https://www.ishares.com/us/products/239424/ishares-core-longterm-us-bond-etf
